Threshold,Sensitivity,Specificity,NPV,PPV,LR+,LR-,Missed injuries,True positives,False positives,Below-threshold proportion,At-or-above-threshold proportion
0.00,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.01,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.02,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.03,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.04,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.05,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.06,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.07,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.08,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.09,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.10,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.11,1.00,0.00,not calculable,0.26,1.00,not calculable,0,25,72,0.00,1.00
0.12,1.00,0.04,1.00,0.27,1.04,0.00,0,25,69,0.03,0.97
0.13,1.00,0.12,1.00,0.28,1.14,0.00,0,25,63,0.09,0.91
0.14,1.00,0.14,1.00,0.29,1.16,0.00,0,25,62,0.10,0.90
0.15,1.00,0.21,1.00,0.30,1.26,0.00,0,25,57,0.15,0.85
0.16,1.00,0.28,1.00,0.32,1.38,0.00,0,25,52,0.21,0.79
0.17,1.00,0.32,1.00,0.34,1.47,0.00,0,25,49,0.24,0.76
0.18,1.00,0.39,1.00,0.36,1.64,0.00,0,25,44,0.29,0.71
0.19,1.00,0.43,1.00,0.38,1.76,0.00,0,25,41,0.32,0.68
0.20,1.00,0.47,1.00,0.40,1.89,0.00,0,25,38,0.35,0.65
0.21,1.00,0.50,1.00,0.41,2.00,0.00,0,25,36,0.37,0.63
0.22,1.00,0.53,1.00,0.42,2.12,0.00,0,25,34,0.39,0.61
0.23,0.92,0.53,0.95,0.40,1.95,0.15,2,23,34,0.41,0.59
0.24,0.92,0.57,0.95,0.43,2.14,0.14,2,23,31,0.44,0.56
0.25,0.92,0.60,0.96,0.44,2.28,0.13,2,23,29,0.46,0.54
0.26,0.92,0.64,0.96,0.47,2.55,0.13,2,23,26,0.49,0.51
0.27,0.92,0.65,0.96,0.48,2.65,0.12,2,23,25,0.51,0.49
