dataset,metric,n_draws,median,mean,sd,interval_lower,interval_upper,minimum,maximum,n_distinct
holdout,auprc,400,0.8276837546458835,0.827731628966759,0.0028387414889007,0.8220669929009483,0.8332535102954284,0.8183705022864717,0.8386277954550004,274
holdout,auroc,400,0.9088888888888887,0.9090388888888888,0.0015730310892541,0.9061111111111112,0.9122361111111112,0.905,0.9133333333333332,26
holdout,brier,400,0.1263539300966691,0.1263552211321264,0.0003669498246621,0.1255966600502599,0.1270943889731783,0.1252558826201678,0.1273997690370601,400
holdout,calibration_slope,400,1.9213851526602257,1.9221039468347696,0.0128908655437749,1.8973314434097035,1.9497715560850948,1.8907878206821584,1.9566189609583864,400
holdout,calibration_intercept,400,-0.6671166534877399,-0.6673819565094712,0.0051982881717777,-0.6775369818756692,-0.6572088800383918,-0.6803653662465153,-0.6491881699616017,400
holdout,n_green,400,49.0,49.3075,0.5035649851167066,49.0,50.0,49.0,51.0,3
holdout,n_amber,400,37.0,36.63,0.5735174851427034,35.0,37.0,34.0,37.0,4
holdout,n_red,400,11.0,11.0625,0.2423646044779629,11.0,12.0,11.0,12.0,2
holdout,missed_injuries_green,400,2.0,2.1,0.3003757045930553,2.0,3.0,2.0,3.0,2
holdout,green_npv,400,0.9591836734693876,0.9574418967587036,0.0057532743352708,0.94,0.96,0.94,0.96,4
holdout,red_ppv,400,1.0,0.9991666666666664,0.0083019459022816,1.0,1.0,0.9166666666666666,1.0,2
prospective,auprc,400,0.4412826045152145,0.4571300965532308,0.020433112624885,0.4338597681450098,0.5029073871926288,0.4328455960782061,0.5029073871926288,43
prospective,auroc,400,0.7446102819237147,0.7447699004975123,0.0022114953001881,0.7412728026533997,0.7504145936981758,0.7396351575456053,0.7504145936981758,16
prospective,brier,400,0.2737078496066947,0.2737039335042006,0.0002727997387422,0.2731500824482858,0.2742476633551822,0.2728943796363861,0.2744102477060589,392
prospective,calibration_slope,400,1.692976373031207,1.692649506204532,0.0096414672869127,1.6714310274601276,1.7096683911936763,1.6612977896422232,1.71949538153542,392
prospective,calibration_intercept,400,-2.227675554963546,-2.2281453377864047,0.0072763796586214,-2.242874960583091,-2.2132614428246256,-2.2484627098231305,-2.2074490953534616,392
prospective,n_green,400,12.0,12.0,0.0,12.0,12.0,12.0,12.0,1
prospective,n_amber,400,46.0,46.1825,0.3867397951762041,46.0,47.0,46.0,47.0,2
prospective,n_red,400,27.0,26.8175,0.3867397951762041,26.0,27.0,26.0,27.0,2
prospective,missed_injuries_green,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
prospective,green_npv,400,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
prospective,red_ppv,400,0.3333333333333333,0.3356730769230769,0.004958202502259,0.3333333333333333,0.3461538461538461,0.3333333333333333,0.3461538461538461,2
