Measure,Internal hold-out,Prospective
n (events),52 (16),75 (16)
Injury prevalence (95% CI),0.308 (0.187 to 0.451),0.213 (0.127 to 0.323)
Average precision (AP; 95% CI),0.839 (0.698 to 0.951),0.399 (0.273 to 0.608)
AP divided by prevalence baseline,2.73×,1.87×
AUC-ROC (95% CI),0.903 (0.806 to 0.972),0.715 (0.583 to 0.831)
Brier score (95% CI),0.135 (0.099 to 0.175),0.276 (0.238 to 0.313)
Calibration slope (95% CI),1.939 (1.217 to 4.585),1.414 (0.714 to 2.710)
Calibration intercept (95% CI),-0.553 (-1.856 to 0.030),-2.005 (-3.049 to -1.583)
Discharge n (injuries),23 (1),12 (0)
Reassess n (injuries),22 (8),40 (9)
MRI referral n (injuries),7 (7),23 (7)
Maximum probability range across 400 draws,0,0
