Predictor,Retrospective overall,Training,Internal hold-out,Prospective
Swelling,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Ability to bear weight,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Body mass index,115/322 (35.7%),75/225 (33.3%),40/97 (41.2%),10/85 (11.8%)
Reduced range of motion,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Twisting mechanism,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Activity risk,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Pain score,39/322 (12.1%),27/225 (12.0%),12/97 (12.4%),0/85 (0.0%)
Popping,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Instability,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Locking,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Timing of swelling,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
Hyperextension,0/322 (0.0%),0/225 (0.0%),0/97 (0.0%),0/85 (0.0%)
